primary_city,county,zip_code,FM_Closest_raw,FM_Closest_AR,FM_Closest_SP,FM_Attends_raw,FM_Attends_AR,FM_Attends_SP,Final_FM_Attend,transaction_id,agree_with_Attends,Final_FM_Closest,agree_with_Closest
Knoxville,Knox County,37912,Harvest Park Community Market,New Harvest Farmers Market,New Harvest Farmers Market,"Tellico  Community Market, Harvest Park Comminury Market",Tellico Community Farmers Market,New Harvest Farmers Market,,0DSrNbwP9wFKWe8HfQV9mf,,New Harvest Farmers Market,
Clarkrange,Fentress County,38553,Unsure ,Unsure,Unsure,,,NA, ,0DXiqne3dwOjsSNj52CFns,,Unsure,
Baxter,Putnam County,38544,Unsure,Unsure,Unsure,Willow,Not Farmers Market,Unsure,,0DoTkem0XbaenZF2ltO10T,,Unsure,
Madison,Davidson County,37115,Unsure,Unsure,Unsure,,,NA, ,0E38nTU0N166DSd4gw8n3o,,Unsure,
Nolensville,Williamson County,37135,Nolensville,Nolensville Farmers Market,Nolensville Farmers Market,Fast,Unsure,Not Farmers Market,,0E6pJ0hvMxFsAIx9n6YONY,,Nolensville Farmers Market,
Rocky Top,Anderson County,37769,Unsure,Unsure,Unsure,,,NA, ,0EBq1K6d6jSgHjAuI207KW,,Unsure,
Sparta,White County,38583,Unsure,Unsure,Unsure,,,NA, ,0ECGdhe5KtrLjQ69Tl0E3Q,,Unsure,
Millington,Shelby County,38053,Unsure,Unsure,Unsure,Farmers market ,Unsure,Millington Farmers Market,Millington Farmers Market,0ETBajwvZD1N49DC8e0bph,SP,Unsure,
Memphis,Shelby County,38127,Unsure,Unsure,Unsure,,,NA, ,0Elw0xI8khNWd4OcW6qRLa,,Unsure,
Seymour,Sevier County,37865,Unsure,Unsure,Unsure,The flea market farmers market ,Not Farmers Market,Seymour Farmers Market,Not Farmers Market,0FTmsFvleHwCti0hpayJzX,AR,Unsure,
Gallatin,Sumner County,37066,Unsure ,Unsure,Unsure,Gallatin Farmers Market ,Gallatin Farmers Market,Gallatin Farmers Market,Gallatin Farmers Market,0H2VuBsFKWJIEW9Hl5aqNB,,Unsure,
Moscow,Fayette County,38057,234 street ,Unsure,NA,256 street,Unsure,Unsure,Unsure,0HYarScB84VkvVeMtAdaIy,,,
