primary_city,county,zip_code,FM_Closest_raw,FM_Closest_AR,FM_Closest_SP,FM_Attends_raw,FM_Attends_AR,FM_Attends_SP,Final_FM_Attend,transaction_id,agree_with_Attends,Final_FM_Closest,agree_with_Closest
Memphis,Shelby County,38133,good,Unsure,NA,very nice,Unsure,NA,,1USDXadMXrNH0QjnyQDTBf,,,
Paris,Henry County,38242,Fairgrounds road,Henry County Farmers Market,Not Farmers Market,Fairgrounds,Henry County Farmers Market,Henry Horton Farmers Market,,1Uhb9eumQhpT2N876l5eFs,,Henry County Farmers Market,AR
Antioch,Davidson County,37013,rice,Unsure,NA,great,Unsure,NA,,1UtUrEDvtNiXKJtumzKJ09,,,
Arlington,Shelby County,38002,Unsure,Unsure,Unsure,,,NA, ,1V1khTgKMlxoiFi8X7BpqZ,,Unsure,
Cookeville,Putnam County,38506,Unsure ,Unsure,Unsure,,,NA, ,1V5xIyhpQxOlsfrxSxziC2,,Unsure,
Memphis,Shelby County,38105,Unsure,Unsure,Unsure,,,NA, ,1V61Pfd8wWyjm2Wx8tMgRD,,Unsure,
Walland,Blount County,37886,Horn of plenty,Not a farmers market,Not Farmers Market,Broadway,Maryville Farmers Market,Maryville Farmers Market,Maryville Farmers Market,1V6I8aIQKNnCkcYGq63wum,,,
,,38635,Unsure ,Unsure,,,,, ,1VHGumXcyGqE3OzNiRVTnz,,,
Murfreesboro,Rutherford County,37129,Unsure ,Unsure,Unsure,Murfreesboro ,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,1VxWj3XX04V41tvR1kbWFN,,Unsure,
Estill Springs,Franklin County,37330,Unsure ,Unsure,Unsure,None ,,NA,,1W1oezkpU5zsxkCVW6X7HQ,,Unsure,
Nashville,Davidson County,37211,Farmers ,,Nashville Farmers Market,1,,NA,,1WGYOVHLzXdH3Z21MVcEzg,,Nashville Farmers Market,SP
Selmer,McNairy County,38375,Front st,Selmer Farmers Market,Selmer Farmers Market,Front st,Selmer Farmers Market,Selmer Farmers Market,Selmer Farmers Market,1WLxbKOZp4Bwr7iNQnBJF3,,Selmer Farmers Market,
Memphis,Shelby County,38111,Unsure,Unsure,Unsure,,,NA, ,1Xfb3zm2qTsLwuABHe6Sn5,,Unsure,
Crossville,Cumberland County,38571,Ddd,Unsure,NA,Dd,Unsure,NA,,1YC2FkKW2Ndm5N5YJ8Uggn,,,
Knoxville,Knox County,37917,Unsure ,Unsure,Unsure,,,NA, ,1YLQj5hfu8uL8dPeNfFXG0,,Unsure,
Lebanon,Wilson County,37087,Parkland,Not a farmers market,Not Farmers Market,Parkland,Not Farmers Market,Not Farmers Market,Not Farmers Market,1YPA9LlORydCKSKMUuqjcF,,,
,,38865,Unsure,Unsure,,,,, ,1YxzoOuoz4xKGqZnoM7VBo,,Unsure,
Clarksville,Montgomery County,37043,"Clarksville Downtown Market, 1 Public Square",Clarksville Farmers Market,Clarksville Farmers Market,"Clarksville Downtown Market, 1 Public Square",Clarksville Farmers Market,Not Farmers Market,,1Z88rb69l8ThebFkkh3h77,,Clarksville Farmers Market,
Rockvale,Rutherford County,37153,Murfreesboro Tennessee Farmers Market,Main Street Murfreesboro Farmers Market,Main Street Farmers Market,Franklin Tennessee Farmers Market,Franklin Farmers Market,Franklin Farmers Market,Franklin Farmers Market,1Z92yXgrKaz4NPRB2Sx8XZ,,,
Nashville,Davidson County,37208,House market,Not a farmers market,Unsure,Gardens of Babylon,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,1ZH9PjGqvtn6S0BItQj8qf,,,
Knoxville,Knox County,37932,unsure,Unsure,Unsure,n/a,,NA,,1ZV2NtI3Y9jsvBGZDkH7Qq,,Unsure,
Cookeville,Putnam County,38501,Cookeville Farmer's Market,Cookeville Farmers Market,Cookeville Farmers Market,"Cookeville Farmer's Market, Walnut Avenue, Cookeville, TN  38501",Cookeville Farmers Market,Sparta Farmers Market,Cookeville Farmers Market,1ZaJ9oyhfAJ3FdNSJ5gQLk,AR,Cookeville Farmers Market,
Knoxville,Knox County,37915,Martin Luther King Jr ,Eastside Sunday Market,Eastside Sunday Market,Eastside Market ,Eastside Sunday Market,Market Square Farmers Market,Eastside Sunday Market,1a4ianauvSIkgIFUdfdSoH,AR,Eastside Sunday Market,
Lebanon,Wilson County,37087,Unsure,Unsure,Unsure,DonÃ¢ÂÂt know,,Unsure,,1acbt1bCDZRJrF0mMqwQwm,,Unsure,
,,40977,"Harrogate produce, Tennesee ",Harrogate Plant and Produce,,,,, ,1afLrv2HOc7qe1SzT9OXWu,,Harrogate Plant and Produce,AR
Crossville,Cumberland County,38571,unsure,Unsure,Unsure,COMUNITY COMPLEX,Masons Cumberland Farmers Market,Masons Cumberland Farmers Market,Masons Cumberland Farmers Market,1b8Wyjv7l11qFti2e1OiNU,,Unsure,
Antioch,Davidson County,37013,Unsure,Unsure,Unsure,,,NA, ,1bPC08huvFni5fbQSgPMTL,,Unsure,
Rockvale,Rutherford County,37153,Unsure,Unsure,Unsure,US41A ,North Bedford Farmers Market,Triple A Farm,North Bedford Farmers Market,1cmCGEK3ThbjbnLMNXnyjZ,AR,Unsure,
Cordova,Shelby County,38016,Unsure,Unsure,Unsure,,,NA, ,1cz9HWGRfr8mRcGP8S3xUt,,Unsure,
Munford,Tipton County,38058,Unsure,Unsure,Unsure,Covington Farmers Market,Covington Farmers Market,Covington Farmers Market,Covington Farmers Market,1d6XAvo3gOC6HlMywmKBLM,,Unsure,
Memphis,Shelby County,38128,Unsure,Unsure,Unsure,Arkansas ,Unsure,Unsure,Unsure,1dz67TkjVQw96751kl0xJp,,Unsure,
Knoxville,Knox County,37923,Market square,Market Square Farmers Market,Market Square Farmers Market,Market square,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,1eUjYt61cBNgpRVhX55jRt,,Market Square Farmers Market,
Morristown,Hamblen County,37814,Unsure,Unsure,Unsure,,,NA, ,1ejhBDCkf2CqY1GG9XN7jf,,Unsure,
Crossville,Cumberland County,38572,I dont know,,Unsure,,,NA, ,1eqUHppuEgZ8YXVzYM4hhF,,,
Knoxville,Knox County,37938,Washington pike,New Harvest Farmers Market,New Harvest Farmers Market,Washington pike,New Harvest Farmers Market,New Harvest Farmers Market,New Harvest Farmers Market,1eusBJn3XWVm0MJq30xIt9,,New Harvest Farmers Market,
Springfield,Robertson County,37172,Unsure,Unsure,Unsure,Nashville farmers market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,1f7KCMUFX8sE9ExMmaSPSG,,Unsure,
Rockford,Blount County,37853,Unsure ,Unsure,Unsure,,,NA, ,1fAo4g1hbMiv1CqJ3FofqH,,Unsure,
Greenbrier,Robertson County,37073,Unsure,Unsure,Unsure,,,NA, ,1fDQzjPT6MBl1xXeQIZymX,,Unsure,
Rockwood,Roane County,37854,Unsure,Unsure,Unsure,Race Street,,Kingston Lakeside Farmers Market,Kingston Lakeside Farmers Market,1fgizUL4pkSiZpQ1d5aJDv,SP,Unsure,
Murfreesboro,Rutherford County,37129,Unsure,Unsure,Unsure,Farmers market,,Main Street Murfreesboro Farmers Market,,1fv5GNdpoFlPvUt4UdjjmE,0,Unsure,
Knoxville,Knox County,37917,Unsure ,Unsure,Unsure,,,NA, ,1fxRUIHNErs3W9cKjSWy2h,,Unsure,
Nashville,Davidson County,37214,Farmer's Market ,,Nashville Farmers Market,Farmer's Market in Nashville ,,Nashville Farmers Market,,1gBSuGb0n8VDhHhAyotWnX,,Nashville Farmers Market,SP
,,38632,The square,Unsure,,Local farmers market ,Unsure,,,1gIhQw0epIUoJJo3qDW9OQ,,,
Nashville,Davidson County,37207,Unsure,Unsure,Unsure,,,NA, ,1gaukVkQW27gtRDXMjRW7B,,Unsure,
Dickson,Dickson County,37055,Unsure,Unsure,Unsure,Whole foods,Not Farmers Market,Not Farmers Market,Not Farmers Market,1gbSuUW0p3IvBMbiLDxaCc,,Unsure,
Antioch,Davidson County,37013,Unsure,Unsure,Unsure,,,NA, ,1gzp30LUADMlNlxNC3PjkK,,Unsure,
Sevierville,Sevier County,37876,unsure,Unsure,Unsure,,,NA, ,1hE1jd5QTSqRlqNckBgsxf,,Unsure,
Knoxville,Knox County,37920,Seymour Farmers Market,Seymour Farmers Market,Seymour Farmers Market,Seymour Farmers Market,Seymour Farmers Market,Seymour Farmers Market,Seymour Farmers Market,1hZmlvjXnU7fpKylzIZlRi,,Seymour Farmers Market,
Memphis,Shelby County,38134,Farm road,Not a farmers market,Agricenter Farmers Market,Farm rd,Not Farmers Market,NA,,1hphLkXnd1vohjZRnXJatk,,Not a farmers market,AR
Clinton,Anderson County,37716,Unsure ,Unsure,Unsure,Oak ridge Farmers market,Oak Ridge Farmers Market,Oak Ridge Farmers Market,Oak Ridge Farmers Market,1hphVjb6LZ5TDkPGo8G9Uh,,Unsure,
Lenoir City,Loudon County,37771,Kingston pike,Dixie Lee Farmers Market,Dixie Lee Farmers Market,Dixie lee,Dixie Lee Farmers Market,Dixie Lee Farmers Market,Dixie Lee Farmers Market,1hxeXEIC8RwWYalGWveHqq,,Dixie Lee Farmers Market,
Knoxville,Knox County,37921,Unsure,Unsure,Unsure,,,NA, ,1jK7VlhfQXnWwRISQiVY8T,,Unsure,
Townsend,Blount County,37882,Broadway Downtown Maryville ,Maryville Farmers Market,Maryville Farmers Market,Broadway downtown Maryville ,Maryville Farmers Market,Maryville Farmers Market,Maryville Farmers Market,1k8c06RgJy7MR3f95VRqLx,,Maryville Farmers Market,
Crossville,Cumberland County,38555,Unsure,Unsure,Unsure,Fairgrounds ,Masons Cumberland Farmers Market,Masons Cumberland Farmers Market,Masons Cumberland Farmers Market,1kHcPHmcdd15wQBwG9phN7,,Unsure,
Millington,Shelby County,38053,scott street,Scott Street Tomato Farm,Scott Street Tomato Farm,scott street,Scott Street Tomato Farm,Scott Street Tomato Farm,Scott Street Tomato Farm,1kLUZvxbdc6HOZDCsdCAjc,,Scott Street Tomato Farm,
,,72432,"Aggie Rd., Jonesboro ",Not in TN,,"Aggie Rd., Jonesboro, AR",N/A,,,1kS9Je7ISU5ICMWlYh5G7T,,,
Nashville,Davidson County,37203,Farmers market ,,Nashville Farmers Market,Farmer market ,,Nashville Farmers Market,Nashville Farmers Market,1kdGjmmVSI8hs64GUxBVcn,SP,Nashville Farmers Market,SP
,,72324,Unsure,Unsure,,DonÃ¢ÂÂt know the name,Unsure,,,1kwgT99E1kET0WEhIZM5tC,,Unsure,
,,38671,"""Unsure""",Unsure,,Union ave,Not Farmers Market,,,1kx5vEbLtVMgw3MqjZuR69,,,
Knoxville,Knox County,37924,Unsure,Unsure,Unsure,,,NA, ,1l2rMAdXCCI0IaFItAS0cu,,Unsure,
Sweetwater,Monroe County,37874,Unsure,Unsure,Unsure,,,NA, ,1l84b5z7b6BxH9ZwzaKQ4u,,Unsure,
Memphis,Shelby County,38127,Memphis Farmers Market (566 S Front St),Memphis Farmers Market,Memphis Farmers Market,,,NA, ,1lEUU3CedSGdbkkkX4AlwT,,Memphis Farmers Market,
Lenoir City,Loudon County,37771,Unsure,Unsure,Unsure,Not sure ,,Unsure,,1lEpsj7OT7f1gRoPToeXwR,,Unsure,
,,38614,Unsure ,Unsure,,Delta discount ,Not Farmers Market,,,1lHVMhrKsJlo2bf1VxTgP1,,,
Memphis,Shelby County,38125,The Fresh Market,Fresh Roots Farmers Market,Fresh Roots Farmers Market,Third Street Farmers Market ,Not Farmers Market,Memphis Farmers Market,Not Farmers Market,1lpVKlkaLLgdZVsuiMLcbf,AR,Fresh Roots Farmers Market,
Knoxville,Knox County,37912,6801 barkwood road ,Unsure,NA,,,NA, ,1m9Yqj5gIx7uql2k4uM5FZ,,,
Nashville,Davidson County,37208,Rosa Parks,Nashville Farmers Market,Nashville Farmers Market,Rosa Parks,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,1mIT37eO9QlXtrXL4jmZBI,,Nashville Farmers Market,
Morristown,Hamblen County,37814,Buffalo trail,Buffalo Trail Orchard,Buffalo Trail Orchard,,,NA, ,1mc7GtYYzO1098oNjRrqST,,Buffalo Trail Orchard,
Seymour,Sevier County,37865,Seymour,Seymour Farmers Market,Seymour Farmers Market,Seymour,Seymour Farmers Market,Seymour Farmers Market,Seymour Farmers Market,1mtx6zThGpwJ2JsmbypbO5,,Seymour Farmers Market,
Spring Hill,Williamson County,37174,Unsure,Unsure,Unsure,,,NA, ,1mwGFC9Y9iYHAch3bpZ7P5,,Unsure,
La Vergne,Rutherford County,37086,Unsure,Unsure,Unsure,,,NA, ,1n1wQDGbN7jLFGdeKnawTf,,Unsure,
Murfreesboro,Rutherford County,37128,Rutherford County ,Rutherford County Farmers Market,Rutherford County Farmers Market,Rutherford County ,Rutherford County Farmers Market,Rutherford County Farmers Market,Rutherford County Farmers Market,1neMUAXhslS3mPnn65OYdx,,Rutherford County Farmers Market,
,,40831,Unsirr,Unsure,,Food city,Not Farmers Market,,,1o8ynmQLad5gzhRA9eAOc5,,,
,,38632,Unsure,Unsure,,,,, ,1oDI4UeIqZGfpMK4i5jQK0,,Unsure,
Wartburg,Morgan County,37887,Unsure,Unsure,Unsure,,,NA, ,1oTNTHe28J0SOBsDUeRQE0,,Unsure,
Clarksville,Montgomery County,37043,Unsure ,Unsure,Unsure,Old Clarksville market,Clarksville Farmers Market,Not Farmers Market,Not Farmers Market,1ofe6ZwNEKMN4QKdsv9Cj5,SP,Unsure,
Memphis,Shelby County,38134,Unsure,Unsure,Unsure,Millington farmer's market,Millington Farmers Market,Millington Farmers Market,Millington Farmers Market,1q0M7V0rMygMTA62RYRaJp,,Unsure,
,,38646,Mlk dr,,,Super value,,,,1qCi3qsyRF6R7k5xOBmVfW,,,
Rutledge,Grainger County,37861,Unsure,Unsure,Unsure,,,NA, ,1qdO14DW19x6D5S62P7qDn,,Unsure,
Corryton,Knox County,37721,Washington pike,New Harvest Farmers Market,New Harvest Farmers Market,Harvest park,New Harvest Farmers Market,New Harvest Farmers Market,New Harvest Farmers Market,1rNuBVSLzlHFnAUUynM9W1,,New Harvest Farmers Market,
New Market,Jefferson County,37820,New market ,Not a farmers market,Not Farmers Market,,,NA, ,1rcU3M3EbpwG2BuprBXiNf,,,
Memphis,Shelby County,38125,Winchester ,Winchester Farmers Market,Winchester Farmers Market,Winchester,Winchester Farmers Market,Winchester Farmers Market,Winchester Farmers Market,1rdkJv2scwTAZVDeIM0BP0,,Winchester Farmers Market,
,,38671,Unsure,Unsure,,Airways,Not Farmers Market,,,1rhr0OyEeuyuz83POPSXtw,,Unsure,
,,38601,Mississippi Farmer's Market,Not in TN,,Mississippi Farmer's Market,N/A,,,1ri8017xxEnKG6pztTT0bL,,,
Franklin,Williamson County,37067,Unsure,Unsure,Unsure,"Central Avenue Farmers Market, 123 Main Street",N/A,Nashville Farmers Market,N/A,1rt4Vuh5tPMUC1ZJD43bbx,AR,Unsure,
Mcminnville,Warren County,37110,Unsure ,Unsure,Unsure,,,NA, ,1rxyrjQsrlQANEhmW0lOrV,,Unsure,
Sevierville,Sevier County,37876,Gay street in downtown Knoxville area,Market Square Farmers Market,Market Square Farmers Market,Gay street in downtown Knoxville,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,1s3KNNRUqGRIrlMuwtJhfM,,Market Square Farmers Market,
Knoxville,Knox County,37923,Market square,Market Square Farmers Market,Market Square Farmers Market,Market Square ,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,1szATi6VgFrmrpT9je3UbG,,Market Square Farmers Market,
,,42717,Main Street in burkesville ky,,,Main Street in burkesville ky,,,,1t5DTmksCVW5LRwABuo6yq,,,
Knoxville,Knox County,37921,Unsure ,Unsure,Unsure,Knoxville farmers market ,Unsure,Market Square Farmers Market,Market Square Farmers Market,1tiA0wba7LvF7zifikyEy2,SP,Unsure,
Memphis,Shelby County,38122,Unsure ,Unsure,Unsure,,,NA, ,1u0IWpowlFurX57E26w05p,,Unsure,
Millington,Shelby County,38053,Memphis,Memphis Farmers Market,Memphis Farmers Market,Sandy,Unsure,NA,,1u3R7dOUf4Av33ROtQXn3I,,Memphis Farmers Market,
Clarksville,Montgomery County,37042,Unsure,Unsure,Unsure,Amish farmers market,Not Farmers Market,Not Farmers Market,Not Farmers Market,1u3xL9sNHnbpeiGUrssYSp,,Unsure,
Knoxville,Knox County,37918,unsure,Unsure,Unsure,I don't recall,,Unsure,,1u8Z9R2NTZWZd99kXnhejQ,,Unsure,
Knoxville,Knox County,37912,New Harvest rd,New Harvest Farmers Market,New Harvest Farmers Market,,,NA, ,1uW75xs0YqHBRrdxVmyLZh,,New Harvest Farmers Market,
Collierville,Shelby County,38017,Not sure,,Unsure,North Germantown rd,Cordova International Farmers Market,Collierville Farmers Market,Cordova International Farmers Market,1ua6XJSJ7E0mmM7LXlPFpJ,AR,,
Rockwood,Roane County,37854,Unsure,Unsure,Unsure,,,NA, ,1unto4a4KljB1js3mjibkr,,Unsure,
Knoxville,Knox County,37920,Ynsure,,Unsure,,,NA, ,1uynYm0R2jHobpkJIca5U7,,,
Goodlettsville,Davidson County,37072,Unsure,Unsure,Unsure,East Nashville,Nashville Farmers Market,Hip Donelson Farmers Market,,1wCWllaF0a93BT0jk1vUVa,0,Unsure,
Shelbyville,Bedford County,37160,Unsure,Unsure,Unsure,,,NA, ,1wCp1FS5fCklM1RN3O2xC1,,Unsure,
Buchanan,Henry County,38222,Undure,Unsure,Unsure,Henry Co farmers market,Henry County Farmers Market,Henry Horton Farmers Market,Henry County Farmers Market,1wEQyYCinpz359YjZVYjkS,AR,Unsure,
Memphis,Shelby County,38104,Unsure,Unsure,Unsure,,,NA, ,1wOninsr65mOWG0oQiXyK1,,Unsure,
Bolivar,Hardeman County,38008,Bolivar Farmer's Market,Bolivar Farmers Market,Bolivar Farmers Market,,,NA, ,1wpy0m9uQP6zwawbTlpTIc,,Bolivar Farmers Market,
Clarksville,Montgomery County,37040,Unsure ,Unsure,Unsure,,,NA, ,1xI5n6EheUHqR6jdAlF8u7,,Unsure,
Nashville,Davidson County,37207,Dogwood,Not a farmers market,Unsure,Opry,Not Farmers Market,Not Farmers Market,Not Farmers Market,1xPCcG65dIQ6f22KIgXUJW,,,
Nashville,Davidson County,37208,Downtown Nashville ,Nashville Farmers Market,Nashville Farmers Market,North Nashville downtown ,Not Farmers Market,Nashville Farmers Market,Nashville Farmers Market,1xemquy2lFd9j3RIYCrAUt,SP,Nashville Farmers Market,
Maryville,Blount County,37801,The Farmers Market. Broadway Avenue ,Maryville Farmers Market,Maryville Farmers Market,The Farmers Market. Broadway Avenue ,Maryville Farmers Market,Maryville Farmers Market,Maryville Farmers Market,1xfnC8qCA747JybHnVafKP,,Maryville Farmers Market,
,,40977,Harrogate plant and produce ,Harrogate Plant and Produce,,,,, ,1xk3GtIS2ISEQVqwmxIkBb,,,SP
Nashville,Davidson County,37221,Unsure,Unsure,Unsure,Nashville farmer's market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,1yAKwwEeGoMEl1LaG1UHPG,,Unsure,
Harriman,Roane County,37748,Unsure,Unsure,Unsure,Not sure ,Unsure,Unsure,Unsure,1yEr5cx93En4SCCRKhQQul,,Unsure,
Clarksville,Montgomery County,37043,Unsure,Unsure,Unsure,,,NA, ,1yF5CRaYxDAHuZT2Ur89Mq,,Unsure,
Del Rio,Cocke County,37727,cosby hwy,Carver's Orchard,Smoky Mountain Farmers Market,cosby hwy,Carver's Orchard,Unsure,Carver's Orchard,1yFFiJ62ZMkdnZJvHrjul9,AR,Carver's Orchard,AR
,,38618,Unsure ,Unsure,,,,, ,1yMIlO4i1Ij6LIGZy129Y3,,,
Oakland,Fayette County,38060,Unsure,Unsure,Unsure,,,NA, ,1yN3sr5dyWnmfVqRHcG4ly,,Unsure,
Hendersonville,Sumner County,37075,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,1yiTCF1dsHKRl0CcLMM72B,,Unsure,
Oak Ridge,Anderson County,37830,Jackson Square,Oak Ridge Farmers Market,Oak Ridge Farmers Market,Jackson Square,Oak Ridge Farmers Market,Market Square Farmers Market,Oak Ridge Farmers Market,201SoVZTTlA9T9ntkb8mdv,AR,Oak Ridge Farmers Market,
,,38658,Public square ,Unsure,,,,, ,20JPKx4ubVN4UwO3C2N9Uv,,,
Nashville,Davidson County,37205,unsure,Unsure,Unsure,Farmers Market,,Nashville Farmers Market,,20VbwiESMb91MaF2YgGwVb,,Unsure,
Memphis,Shelby County,38105,Poplar ave,Not a farmers market,Collierville Farmers Market,Germantown farmers market,Cordova International Farmers Market,Farm Park Farmers Market,Cordova International Farmers Market,20VrxVnPyw0ouzp6u8e5Mw,AR,Collierville Farmers Market,SP
Arlington,Shelby County,38002,Unsure,Unsure,Unsure,,,NA, ,20kwVlf5CuKBOwbqOtCIjg,,Unsure,
Middleton,Hardeman County,38052,Hwy 57,Grand Junction Farmers Market,NA,Hardeman County Farmers Market,Bolivar Farmers Market,Bolivar Farmers Market,Bolivar Farmers Market,20pHL6RTwWBDi8bRpeN20s,,NA,SP
Memphis,Shelby County,38116,Riverdale,Unsure,Winchester Farmers Market,Farmers market east memphis,Unsure,Fresh Roots Farmers Market,Fresh Roots Farmers Market,20u26PNFQttaZhUiPNxzxk,SP,Unsure,AR
Murfreesboro,Rutherford County,37127,Unsure,Unsure,Unsure,Murfreesboro City Square,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,Main Street Murfreesboro Farmers Market,213mvl2iUcsR3tHlboLohc,,Unsure,
Sevierville,Sevier County,37876,unsure,Unsure,Unsure,,,NA, ,218w7dpnT7OVh99YGpsda3,,Unsure,
Bolivar,Hardeman County,38008,Unsure,Unsure,Unsure,,,NA, ,21QwZnpRLmJp70Kym53Gd6,,Unsure,
Clarksville,Montgomery County,37042,Nashville ,Nashville Farmers Market,Nashville Farmers Market,N/a,,NA,,2215TMd3rDjYogrj646QW0,,Nashville Farmers Market,
Pigeon Forge,Sevier County,37863,Wood,Not a farmers market,Not Farmers Market,,,Not Farmers Market, ,228htbSGZZHd41ibnpZbw7,,,
Knoxville,Knox County,37931,Market square ,Market Square Farmers Market,Market Square Farmers Market,Market square ,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,22BY8Ge8QYuQO9sr1yGdy2,,Market Square Farmers Market,
Murfreesboro,Rutherford County,37130,Unsure,Unsure,Unsure,,,NA, ,22TxwfnFEke19W86lbLH9G,,Unsure,
Nashville,Davidson County,37205,unsure,Unsure,Unsure,Green Hills Farmers Market,Not Farmers Market,Nashville Farmers Market,,22jWE7nAMJeb08r0UELBc1,,Unsure,
Brentwood,Williamson County,37027,nashville,Nashville Farmers Market,Nashville Farmers Market,nashville,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,22uZF8nX76KHB4DwFXTUe6,,Nashville Farmers Market,
Memphis,Shelby County,38116,Walmart ,Not a farmers market,Not Farmers Market,Walmart ,Not Farmers Market,Not Farmers Market,Not Farmers Market,23B9B55Umge2HFp83doGaE,,,
Memphis,Shelby County,38116,Unsure ,Unsure,Unsure,,,NA, ,249LCLimveBUAF1p3ZBN5b,,Unsure,
Dickson,Dickson County,37055,unsure,Unsure,Unsure,,,NA, ,24UVoZljMrh6Cku41ZVcOD,,Unsure,
Jellico,Campbell County,37762,Unsure,Unsure,Unsure,,,NA, ,24Y0dKMus9gt2s81TCURWK,,Unsure,
Jamestown,Fentress County,38556,Pennys,Penny's Garden Spot,Not Farmers Market,Pennys,Penny's Garden Spot,Not Farmers Market,Penny's Garden Spot,24nw4poRO3zeML16gVgJCb,AR,Penny's Garden Spot,AR
Memphis,Shelby County,38114,Sprouts on Popular ,Not a farmers market,Collierville Farmers Market,Sprouts on Popular ,Unsure,Not Farmers Market,Not Farmers Market,24wMPYHcWZqay3h2PVZVPC,SP,Not a farmers market,AR
Memphis,Shelby County,38128,Unsure,Unsure,Unsure,,,NA, ,25Ea3uR1QII3leHV0qsn7G,,Unsure,
Knoxville,Knox County,37921,umited farmer`s,Not a farmers market,Union County Farmers Market,united farmer`s,Not Farmers Market,Union County Farmers Market,Not Farmers Market,25LURBRpGe559xnUAdmK2z,AR,Not a farmers market,AR
Smyrna,Rutherford County,37167,Unsure,Unsure,Unsure,,,NA, ,25ZryKztgWcocNO5VdyVeR,,Unsure,
Nashville,Davidson County,37203,Unsure,Unsure,Unsure,Nashville FarmerÃ¢ÂÂs Market,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,25iZlzT0ikd6SOcg8erVlM,,Unsure,
Memphis,Shelby County,38116,Southhaven ,Unsure,Memphis Farmers Market,Millington,Millington Farmers Market,Millington Farmers Market,Millington Farmers Market,25udSFBuz6WH9lPF91NWll,,,
Antioch,Davidson County,37013,Unsure ,Unsure,Unsure,,,NA, ,26URlrFlkzWeltnUy5VSZ4,,Unsure,
Shelbyville,Bedford County,37160,Unsure ,Unsure,Unsure,,,NA, ,26u1ADJTU7XlHuPvVa4zDL,,Unsure,
,,38637,Unsure,Unsure,,,,, ,272TJKKB8ip2k78imEsXhO,,Unsure,
Erin,Houston County,37061,Unsure,Unsure,Unsure,,,NA, ,277WZtFRzgGQkdcKAHHl6a,,Unsure,
Powell,Knox County,37849,Market st,Market Square Farmers Market,Market Square Farmers Market,Market square farmers market ,Market Square Farmers Market,Market Square Farmers Market,Market Square Farmers Market,27EaJ47RVszA9PqKfbDqfx,,Market Square Farmers Market,
Cedar Hill,Robertson County,37032,900 Rosa L parks,Nashville Farmers Market,Nashville Farmers Market,900 Rosa L. Parks blvd,Nashville Farmers Market,Nashville Farmers Market,Nashville Farmers Market,27aioffLxzjXt5C0KjmsNJ,,Nashville Farmers Market,
Collierville,Shelby County,38017,kroger,Not a farmers market,Not Farmers Market,kroger,Not Farmers Market,Not Farmers Market,Not Farmers Market,27kTaI0caHR0ddEslQONu4,,,
Knoxville,Knox County,37921,Sisters market,Not a farmers market,Not Farmers Market,Roane ,Unsure,Unsure,Unsure,28PgC4AIPziiJVn1AzkWiv,,,
Knoxville,Knox County,37919,Sutherland ,Farm Fresh Produce,Farm Fresh Produce,,,NA, ,28qVNDtCepniW3PxYGHAok,,Farm Fresh Produce,
Knoxville,Knox County,37931,8459 Kingston Pike,Not a farmers market,Janta Farmers Market,,,NA, ,28tnNGgy4sDfiHFmNO3V9U,,Not a farmers market,AR
Maryville,Blount County,37804,Broadway,Maryville Farmers Market,Maryville Farmers Market,,,NA, ,29CWMgCsztpnvpE6ALWE1E,,Maryville Farmers Market,
Knoxville,Knox County,37917,unsure,Unsure,Unsure,,,NA, ,29Y4VqqUri2HUgiTFJNHZq,,Unsure,
Nashville,Davidson County,37203,Jefferson street ,Not a farmers market,Nashville Farmers Market,Jefferson street ,Not Farmers Market,Nashville Farmers Market,Nashville Farmers Market,2AMNjMSwJSUNos3UdWjD6y,SP,,
Jellico,Campbell County,37762,Unsure,Unsure,Unsure,hotre,Unsure,NA,,2AvvHrYdb9gwN22MG7nHeg,,Unsure,
Lebanon,Wilson County,37090,"West Main Street Lebanon, TN",Not a farmers market,Lebanon Farmers Market,,,NA, ,2BJsIia07WJf87cBvVlwOe,,Lebanon Farmers Market,SP
Murfreesboro,Rutherford County,37128,No ,,Unsure,Yes,,NA,,2BLTFNrPmFLDVMBm9CkIIo,,,
Newport,Cocke County,37821,Unsure,Unsure,Unsure,Main street ,Newport Farmers Market,Not Farmers Market,Newport Farmers Market,2BWDWjNrigyNriNtjcEBpk,AR,Unsure,
Tullahoma,Coffee County,37388,unsure,Unsure,Unsure,,,NA, ,2BYi04hgmbTrj3RXoc4gY5,,Unsure,
